4	74	Saccharomyces cerevisiae phylome (formerly phylome 721 from PhylomeDB5)	Saccharomyces cerevisiae phylome	Saccharomyces cerevisiae phylome for the QFO2020 (Fungal set)	mmarcet	2024-12-11 14:09:08	2024-12-11 14:09:08	4	1	NULL	NULL
7	78	Rattus norvegicus phylome (formerly phylome 491 from PhylomeDB5)	Rattus norvegicus phylome	Rattus norvegicus phylome for the QFO2020 (Vertebrate set)	mmarcet	2024-12-11 14:09:09	2024-12-11 14:09:09	7	0	NULL	NULL
8	39	Candida albicans phylome (formerly phylome 719 from PhylomeDB5)	Candida albicans phylome	Candida albicans phylome for the QFO2020 (Fungal set)	mmarcet	2024-12-11 14:09:09	2024-12-11 14:09:09	8	0	NULL	NULL
