4	1745003	1292091	one-to-many	1	1
4	1745003	647200	one-to-many	1	1
4	1745005	207274	one-to-one	1	2
4	1745005	296257	one-to-one	1	2
4	1745005	576774	one-to-one	1	3
4	1745011	1296134	one-to-many	1	1
4	1745011	661893	many-to-many	1	1
4	1745011	664081	many-to-many	1	2
4	1745012	1295951	one-to-one	1	1
4	1745012	188379	one-to-one	1	1
4	1745012	204122	one-to-one	1	1
4	1745012	302218	one-to-one	1	1
4	1745012	574563	one-to-one	1	1
4	1745012	639981	one-to-one	1	1
4	1745012	663122	one-to-one	1	1
4	1745012	671322	one-to-one	1	1
4	1745012	684732	one-to-one	1	1
4	1745012	824206	one-to-one	1	1
4	1745013	292030	many-to-one	0.857	7
4	1745013	297196	many-to-one	0.857	7
4	1745013	572553	one-to-one	0.9	10
4	1745013	659932	one-to-one	0.556	9
4	1745013	824761	one-to-many	0.556	9
4	1745014	292030	many-to-one	0.875	8
4	1745014	297196	many-to-one	0.857	7
4	1745014	572553	one-to-one	0.909	11
4	1745014	659932	many-to-one	0.75	8
4	1745014	824761	one-to-many	0.6	10
4	1745019	187610	one-to-one	1	3
4	1745019	199575	one-to-one	1	2
4	1745019	292119	one-to-one	1	2
4	1745019	574991	one-to-one	0.75	4
4	1745019	640268	one-to-one	1	2
4	1745019	657688	one-to-one	0.75	4
4	1745019	674890	one-to-one	0.75	4
4	1745019	684844	one-to-one	1	4
4	1745019	823879	one-to-one	1	2
4	1745020	1290856	one-to-one	1	3
4	1745020	191936	one-to-many	1	3
4	1745020	203963	many-to-many	1	3
4	1745020	207162	many-to-many	1	3
4	1745020	305055	one-to-many	1	3
4	1745020	572715	many-to-many	1	3
4	1745020	575202	many-to-many	1	3
4	1745020	639091	one-to-many	1	2
4	1745020	652106	one-to-many	1	3
4	1745020	661563	many-to-one	1	3
4	1745020	665188	many-to-one	1	3
4	1745020	669572	one-to-many	1	3
4	1745020	681780	one-to-many	1	3
4	1745021	662384	one-to-many	1	2
4	1745025	303623	one-to-one	0.5	2
4	1745025	831142	many-to-one	1	1
4	1745026	831142	one-to-one	1	1
4	1745033	1295511	one-to-one	1	1
4	1745033	188613	one-to-one	1	1
4	1745033	206657	one-to-one	1	1
4	1745033	305964	one-to-one	1	1
4	1745033	577228	one-to-one	1	1
4	1745033	636898	one-to-one	1	1
4	1745033	646555	one-to-one	1	1
4	1745033	661342	one-to-one	1	1
4	1745033	675727	one-to-one	1	1
4	1745033	681623	one-to-one	1	1
4	1745033	824220	one-to-one	1	1
4	1745036	652571	one-to-one	1	1
4	1745037	187384	many-to-one	1	1
4	1745043	1288822	many-to-one	1	2
4	1745043	1293384	many-to-one	1	1
4	1745043	191287	one-to-one	1	1
4	1745043	198677	one-to-one	1	1
4	1745043	292018	one-to-one	1	1
4	1745043	576873	one-to-one	1	1
4	1745043	640666	one-to-one	1	1
4	1745043	644256	one-to-one	1	1
4	1745043	660754	one-to-one	1	1
4	1745043	674647	one-to-many	1	1
4	1745043	681391	one-to-one	1	1
4	1745043	829072	many-to-one	1	1
4	1745043	830307	many-to-one	1	1
4	1745044	1293365	one-to-one	1	4
4	1745044	189628	one-to-one	1	4
4	1745044	204571	one-to-one	1	4
4	1745044	298312	one-to-one	1	4
4	1745044	575784	one-to-one	1	4
4	1745044	641633	one-to-one	1	4
4	1745044	645321	one-to-one	1	4
4	1745044	660763	one-to-one	1	4
4	1745044	679085	one-to-one	1	4
4	1745044	683565	many-to-one	0.75	4
4	1745044	685050	many-to-one	1	4
4	1745044	826185	one-to-one	1	4
4	1745047	187177	one-to-one	1	9
